Country,"Father_Take_Up_Rate_pct
"
Luxembourg,98.5
Estonia,90.6
Slovenia,90.0
Sweden,81.1
Finland,78.6
Switzerland,77.5
Denmark,73.3
Lithuania,73.2
Spain,68.9
Poland,66.8
Latvia,58.5
Netherlands,57.8
France,50.8
Ireland,49.6
Italy,48.2
Belgium,43.4
Australia,29.5
United Kingdom,29.0
Austria,23.5
Hungary,23.5
